"Date (UTC)","Timestamp (UTC)","Price"
"12-30-2024 00:00","1735516803","0.475"
"12-31-2024 00:00","1735603204","0.435"
"01-01-2025 00:00","1735689604","0.435"
"01-02-2025 00:00","1735776003","0.44"
"01-03-2025 00:00","1735862404","0.435"
"01-04-2025 00:00","1735948803","0.425"
"01-05-2025 00:00","1736035203","0.425"
"01-06-2025 00:00","1736121603","0.415"
"01-07-2025 00:00","1736208004","0.415"
"01-08-2025 00:00","1736294403","0.405"
"01-09-2025 00:00","1736380803","0.385"
"01-10-2025 00:00","1736467204","0.4"
"01-11-2025 00:00","1736553604","0.415"
"01-12-2025 00:00","1736640004","0.415"
"01-13-2025 00:00","1736726404","0.415"
"01-14-2025 00:00","1736812803","0.405"
"01-15-2025 00:00","1736899203","0.4"
"01-16-2025 00:00","1736985604","0.405"
"01-17-2025 00:00","1737072004","0.41"
"01-18-2025 00:00","1737158404","0.42"
"01-19-2025 00:00","1737244804","0.425"
"01-20-2025 00:00","1737331204","0.42"
"01-21-2025 00:00","1737417603","0.435"
"01-22-2025 00:00","1737504003","0.395"
"01-23-2025 00:00","1737590404","0.39"
"01-24-2025 00:00","1737676803","0.39"
"01-25-2025 00:00","1737763205","0.4"
"01-26-2025 00:00","1737849604","0.405"
"01-27-2025 00:00","1737936004","0.4"
"01-28-2025 00:00","1738022404","0.4"
"01-29-2025 00:00","1738108804","0.4"
"01-30-2025 00:00","1738195205","0.41"
"01-31-2025 00:00","1738281604","0.395"
"02-01-2025 00:00","1738368005","0.405"
"02-02-2025 00:00","1738454404","0.4"
"02-03-2025 00:00","1738540805","0.41"
"02-04-2025 00:00","1738627204","0.4"
"02-05-2025 00:00","1738713604","0.4"
"02-06-2025 00:00","1738800005","0.415"
"02-07-2025 00:00","1738886404","0.42"
"02-08-2025 00:00","1738972804","0.415"
"02-09-2025 00:00","1739059206","0.42"
"02-10-2025 00:00","1739145605","0.415"
"02-11-2025 00:00","1739232004","0.385"
"02-12-2025 00:00","1739318404","0.385"
"02-13-2025 00:00","1739404804","0.39"
"02-14-2025 00:00","1739491205","0.39"
"02-15-2025 00:00","1739577604","0.4"
"02-16-2025 00:00","1739664004","0.39"
"02-17-2025 00:00","1739750404","0.39"
"02-18-2025 00:00","1739836804","0.4"
"02-19-2025 00:00","1739923204","0.405"
"02-20-2025 00:00","1740009604","0.405"
"02-21-2025 00:00","1740096005","0.415"
"02-22-2025 00:00","1740182405","0.42"
"02-23-2025 00:00","1740268804","0.41"
"02-24-2025 00:00","1740355204","0.425"
"02-25-2025 00:00","1740441604","0.42"
"02-26-2025 00:00","1740528005","0.425"
"02-27-2025 00:00","1740614405","0.425"
"02-28-2025 00:00","1740700805","0.415"
